userId,churn,gender_Male,gender_Female,free_flag,paid_flag,free_paid_flag,avg_songs_persession,num_session,avg_days_login_permonth,avg_thumbsdown_permonth,avg_thumbsup_permonth,avg_playlist_permonth,avg_addfriend_permonth,avg_rollad_permonth,avg_help_permonth,avg_error_permonth,regDay,avg_session_hour
118,0,0,1,0,0,1,99.0,24,15.0,13.5,63.5,31.0,26.0,13.0,7.0,2.0,63.12707175925926,1.5411728536114148E12
6,0,1,0,0,0,1,143.5909090909091,24,14.0,15.5,82.5,41.5,20.5,4.5,12.0,2.0,256.3776736111111,1.540670920211531E12
300013,0,1,0,0,1,0,55.833333333333336,6,3.5,1.0,19.0,3.5,4.0,"",2.0,"",89.70524305555556,1.5409807982868682E12
98,0,1,0,0,0,1,85.75,28,14.0,11.0,57.5,29.0,22.5,15.0,7.5,1.5,63.409618055555555,1.540832375461349E12
73,1,0,1,0,0,1,62.833333333333336,6,5.0,7.0,14.0,11.0,11.0,1.0,4.0,1.0,49.76208333333334,1.5395618645147927E12
87,1,1,0,0,0,1,30.68,25,16.0,5.0,32.0,19.0,27.0,50.0,8.0,"",59.125856481481485,1.5392252644394014E12
200017,1,1,0,0,0,1,41.083333333333336,12,6.5,8.0,14.5,5.5,4.0,4.5,2.0,1.0,60.986805555555556,1.5402097796670027E12
86,0,1,0,0,0,1,65.0,10,5.0,8.0,34.0,20.0,9.0,4.5,8.0,1.0,135.0992476851852,1.5415315545010642E12
13,0,0,1,0,0,1,38.78787878787879,33,13.0,7.0,28.5,18.5,16.0,37.0,4.0,"",119.45459490740741,1.5405539019799094E12
200019,0,1,0,0,0,1,49.5,10,5.0,17.0,14.0,18.0,8.0,5.0,3.0,"",56.23005787037037,1.54018777237325E12
100,0,1,0,0,0,1,78.88235294117646,35,16.5,13.5,74.0,30.5,24.5,12.5,9.0,3.0,64.87377314814815,1.5411346451121992E12
100006,1,0,1,1,0,0,26.0,1,1.0,2.0,2.0,1.0,4.0,3.0,"","",9.127164351851851,1.538752642570149E12
141,0,0,1,0,0,1,92.9,11,7.0,2.5,21.0,13.5,8.5,11.0,5.0,"",75.39690972222222,1.5400324835824763E12
148,0,1,0,1,0,0,33.166666666666664,12,5.5,3.0,14.0,2.5,3.5,16.0,3.0,"",70.12188657407407,1.5407881012553918E12
100013,1,0,1,0,0,1,87.0,14,7.5,15.0,19.5,31.0,14.0,19.5,9.0,1.0,44.17873842592593,1.5397661570782742E12
142,0,1,0,0,0,1,117.1875,16,11.0,6.5,55.5,25.0,14.0,3.0,7.5,2.5,63.489328703703706,1.5409064622910112E12
139,0,1,0,0,0,1,94.25,4,5.0,5.0,18.0,13.0,6.0,1.0,1.0,1.0,87.42347222222222,1.5420695514037651E12
146,0,1,0,1,0,0,38.23529411764706,17,8.5,4.5,19.0,6.5,4.5,28.0,3.0,1.0,86.40864583333334,1.5412160899457712E12
24,0,1,0,0,0,1,34.42857142857143,15,7.5,2.0,9.5,6.0,8.5,15.0,2.5,"",76.95898148148149,1.5412434670122876E12
9,0,1,0,0,0,1,89.2,31,16.5,16.0,59.0,38.5,20.0,16.0,7.5,3.0,60.832430555555554,1.5412622078128503E12
106,1,0,1,0,0,1,69.91666666666667,12,5.5,3.0,21.5,28.0,29.0,4.0,5.0,"",40.357511574074074,1.5397611977099001E12
67,0,1,0,0,0,1,91.5,13,8.5,5.0,27.0,18.5,7.0,17.0,8.0,"",138.89282407407407,1.540404723961624E12
100010,0,0,1,1,0,0,39.285714285714285,7,3.5,2.5,8.5,3.5,2.0,26.0,1.0,"",55.64365740740741,1.5406248364796838E12
200002,0,1,0,0,0,1,64.5,6,3.5,6.0,10.5,4.0,4.0,7.0,1.0,"",70.07462962962963,1.539845829102702E12
145,0,0,1,0,1,0,80.64285714285714,15,8.0,4.0,30.5,13.5,17.0,"",1.0,"",102.31814814814815,1.5408146132677534E12
50,0,0,1,0,0,1,62.875,8,4.0,1.5,13.5,6.0,4.5,18.5,7.0,2.0,75.44710648148148,1.5408823932313984E12
14,0,1,0,0,1,0,111.81818181818181,11,6.5,6.0,27.0,17.0,9.5,1.0,5.0,2.0,132.54185185185185,1.541550207617293E12
21,0,1,0,0,1,0,124.75,4,2.5,1.0,13.5,4.5,8.0,"",4.0,1.0,68.76866898148148,1.5412310676384695E12
